,Цех,Ст_№_ГПА,Дата,ГТУ1_В,ГТУ1_Г,ГТУ1_О,ГТУ2_В,ГТУ2_Г,ГТУ2_О,ГТУ3_В,ГТУ3_Г,ГТУ3_О,ГТУ4_В,ГТУ4_Г,ГТУ4_О,ГТУ5_В,ГТУ5_Г,ГТУ5_О,ГТУ6_В,ГТУ6_Г,ГТУ6_О,ЦБН1_В,ЦБН1_Г,ЦБН1_О,ЦБН2_В,ЦБН2_Г,ЦБН2_О,ЦБН3_В,ЦБН3_Г,ЦБН4_В,ЦБН4_Г,ЦБН4_О,ЦБН4_NТВД,ЦБН4_NТНД,ЦБН4_3,ЦБН4_Рвх,ЦБН4_Рвых,Оценка_ГТУ,Оценка_ЦБН,Оценка_ГПА,Прибор,ЧД_Гц,Наработка_ГТУ_ч,Примечание,Филиал,КС,Тип_ГПА,Тип_ГТУ,Тип_ЦБК,Макс_ГТУ,Макс_V_ЦБН,Макс_S_ЦБН
1112,Цех_2,22,2012-04-28 13:30:00,2.0,1.2,2.4,,,,,,,,,,,,,,,,2.5,2.2,2.8,,,,,,,,,4406.0,3375.0,,,,хорошо,допустимо,допустимо,"SKF-GX,№71014",10 - 5000,96793,на кольце,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,2.4,2.8,
1113,Цех_2,22,2012-09-24 11:00:00,2.3,1.6,1.7,,,,,,,,,,,,,,,,2.0,2.2,1.9,,,,,,,,,4896.0,4200.0,,44.0,52.3,хорошо,хорошо,хорошо,"SKF-GX,№71014",10 - 5000,96863, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,2.3,2.2,
1114,Цех_2,22,2012-10-09 08:00:00,1.3,0.7,1.4,2.4,1.2,1.6,,,,,,,,,,,,,1.2,1.5,1.0,,,,,,,,,4720.0,4050.0,,42.5,50.6,хорошо,отлично,хорошо,ВИК-3 №7,10 - 5000,97234, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,2.4,1.5,
1115,Цех_2,22,2012-11-09 08:00:00,0.8,0.7,1.4,2.4,1.9,1.0,,,,,,,,,,,,,1.3,1.6,0.9,,,,,,,,,4700.0,4160.0,,40.3,48.3,хорошо,отлично,хорошо,ВИК-3 №7,10 - 5000,97870, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,2.4,1.6,
1116,Цех_2,22,2012-12-14 08:00:00,0.7,0.9,1.8,1.5,1.6,1.5,,,,,,,,,,,,,1.9,1.6,1.3,,,,,,,,,4690.0,4410.0,,40.5,49.3,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,98591, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.8,1.9,
1117,Цех_2,22,2013-01-11 08:00:00,0.8,0.8,1.7,1.6,1.3,1.0,,,,,,,,,,,,,1.7,1.7,1.4,,,,,,,,,4760.0,4370.0,,42.9,51.3,хорошо,отлично,хорошо,ВИК-3 №7,10 - 5000,99159, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.7,1.7,
1118,Цех_2,22,2013-02-11 10:00:00,1.3,0.8,1.5,1.4,1.3,0.9,,,,,,,,,,,,,2.1,1.4,2.4,,,,,,,,,4874.0,4565.0,,,,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,99905, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.5,2.4,
1119,Цех_2,22,2013-03-05 09:00:00,1.1,1.0,1.3,2.8,1.4,0.9,,,,,,,,,,,,,2.1,1.6,3.0,,,,,,,,,4740.0,4550.0,,,,хорошо,допустимо,допустимо,ВИК-3 №7,10 - 5000,100447, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,2.8,3.0,
1120,Цех_2,22,2013-05-20 09:00:00,0.6,0.9,0.9,1.7,1.1,0.8,,,,,,,,,,,,,1.5,1.9,1.1,,,,,,,,,4790.0,4130.0,,40.7,48.3,хорошо,хорошо,хорошо,ВИК-3 №7,10 - 5000,101323, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,1.7,1.9,
1121,Цех_2,22,2013-06-18 08:00:00,0.6,0.6,1.0,2.7,1.7,0.9,,,,,,,,,,,,,1.4,1.1,1.2,,,,,,,,,4560.0,3854.0,,,,хорошо,отлично,хорошо,ВИК-3 №7,10 - 5000,101323, -,Приводинское ЛПУМГ,КС-14,ГТК-10,ГТК-10-4,Н-520-12-1,2.7,1.4,
